80 80
2
4
9
71 54
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;1;1;0;1;1;2;3;3;4;4;5;5;4;4;4;3;3;2;1;1;1;0;0;0;0;1;1;1;2;2;3;4;4;5;5;5;5;6;6;6;6;5;5;5;5;4;4;3;2;1;0;1;2;3;3;4;5;5;5;4;4;3;0
0;2;1;1;1;1;1;1;1;1;2;2;2;3;3;3;2;2;2;1;0;1;2;3;3;4;4;5;5;5;5;4;4;3;3;3;2;2;2;1;1;2;2;2;2;3;3;4;4;5;5;5;6;6;6;6;6;6;6;6;6;5;5;5;4;3;2;1;0;1;2;3;4;4;5;5;5;4;4;0
0;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;1;1;0;1;2;3;4;4;5;5;5;5;5;5;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;5;5;5;6;6;6;6;6;6;6;6;6;6;6;5;5;4;3;2;1;1;2;3;4;4;5;5;5;4;4;0
0;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;3;2;1;0;1;2;3;4P;4;5;5;6;6;6;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;6;6;6;6;7;7;7;7;7;6;6;5;5;4;2;1;0;1;2;3;4;5;5;5;5;4;0
0;4;4;4;4;3;3;4;4;4;4;5;5;5;5;5;4;4;3;2;2;1;1;2;3;3;4;5;5;6;6;6;6;6;5;5;5;5;4;4;4;4P;4;4;4;4;4;4;4;4;5;5;5;5;6;6;6;7;7;7;7;7;7;7;6;5;4;3;2;1;1;2;3;4;4;5;5;5;4;0
0;5;5;5;4;4;4;4;5;5;5;5;5;6;5;5;5;4;4;3;2;1;0;1;2;3;4;5;5;6;6;6;6;6;6;6;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;6;6;7;7;7;7;7;7;7;6;6;5;4;2;1;0;1;2;3;4;4;5;4;4;0
0;6;5;5;5;5;5;5;5;6;6;6;6;6;6;6;5;5;4;3;2;1;0;1;2;3;4;4;5;5;6;6;6;6;6;6;6;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;4;4;5;5;6;6;7;7;7;8;7;7;7;6;5;4;3;2;0;1;2;3;4;4;4;4;4;0
0;6;6;6;6;6;6;6;6;6;6;7;7;7;7;6;6;5;5;4;3;2;1;0;1;2;3;4;5;5;6;6;6;6;6;6;5;5;5;5;4;4;4;4;3;3;3;2;2;2;2;3;3;3;4;5;5;6;6;7;7;7;7;7;7;6;5;4;3;2;1;0;1;2;3;4;4;4;4;0
0;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;6;6;5;4;3;2;1;0;1;2;3;3;4;5;5;5;5;6;5;5;5;5;4;4;4;4;3;3;3;2;2;2;1;1;1;2;2;3;3;4;5;5;6;7;7;7;7;7;7;6;5;5;3;2;1;0;1;2;3;3;3;4;3;0
