16 16
2
4
8
3 8
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;2;3;7P;4M;4M;4M;4;3;2;1;0;1;1;0
0;2;3;7P;4M;4M;4M;4M;4;3;2;1;0;1;2;0
0;2;3;4;4;4;4;4;3;3;2;1;0;1;2;0
0;2;3;4;4M;4M;4M;4;3;2;1;0;1;2;3;0
0;3;3;4;4M;4M;4;3;2;2;0;1;2;2;3;0
0;3;3;4;4;4;3;3;2;1;0;7P;2;3;4;0
0;3;3;3;3;3;3;2;1;0;1;2;3;4;4;0
0;3;3;3;3;3;2;1;0;1;2;3;4;5;5;0
0;3;3;3;2;2;1;1;0;2;3;4;5;5;6;0
0;3;2;2;2;1;1;0;1;2;3;4;5;6;6;0
0;3;2;2;1;1;0;1;2;3;4;5;6;6;7;0
0;2;2;2;1;0;1;2;3;4;5;6;6;7;7;0
0;2;2;1;7P;0;1;2;3;4;5;6;7;7;7;0
0;3;2;1;0;0;1;2;3;5;5;6;7;7;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
