16 16
4
8
6
10 7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;4;4;4;4;4;4;4;3;3;3;3;3;3;3;0
0;4;4;4M;4M;4;1;4;4;3;3;3;3;3;3;0
0;4;4;4;4;1;1;1;4;4P;3;3;3;3;3;0
0;4;4;4;1;1;1;1;1;4;3;3;3;3;3;0
0;4;4P;1;1;1;1;1;1;1;0;3;3;3;3;0
0;4;4;1;1;1;1;1;1;1P;0;0;3;3;3;0
0;4;4;2;1;1M;1;1;1;0;0;0;0;3;3;0
0;4;2;2;2;1;1;1;0;0;0;0;5;5;3;0
0;4;2;2;2;1;1;2;0;0;0;5;5;5;5;0
0;2;2;2;2;2;1;2;2;0;5;5;5;5;5;0
0;2;2;2;2;2;2P;2;2;2;5;5;5;5;5;0
0;0;2;2;2;2M;2;2;2M;5;5;5;5;5;5;0
0;0;0;2;2;2;2;2;0;5;5;5;5M;5;5;0
0;0;0;0;2;2;2;0;0;0;5;5;5;5;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
